Entity,Code,Year,"Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages"
Australia,AUS,1996,7.184743
Australia,AUS,1997,5.9968357
Australia,AUS,1998,5.8345103
Australia,AUS,1999,5.9998198
Australia,AUS,2000,6.046653
Australia,AUS,2001,6.015395
Australia,AUS,2002,6.0228596
Australia,AUS,2003,5.7787585
Australia,AUS,2004,5.760216
Australia,AUS,2006,6.0833855
Australia,AUS,2007,5.3860607
Australia,AUS,2008,5.5302405
Australia,AUS,2009,5.1134515
Australia,AUS,2010,5.680934
Australia,AUS,2011,6.2052693
Australia,AUS,2012,5.9117393
Australia,AUS,2013,6.3586545
Australia,AUS,2014,6.31827
Australia,AUS,2021,4.649423
Australia,AUS,2020,4.290428
Australia,AUS,2019,4.967306
Australia,AUS,2018,4.8744597
Australia,AUS,2017,5.6109877
Australia,AUS,2016,6.109645
Australia,AUS,2015,6.5150385
Austria,AUT,1955,49.373936
Austria,AUT,1956,45.435856
Austria,AUT,1957,43.211967
Austria,AUT,1958,38.482273
Austria,AUT,1959,39.4755
Austria,AUT,1960,33.480743
Austria,AUT,1961,30.505974
Austria,AUT,1962,30.266052
Austria,AUT,1963,29.207176
Austria,AUT,1964,26.628315
Austria,AUT,1965,25.717976
Austria,AUT,1966,24.059734
Austria,AUT,1967,23.414114
Austria,AUT,1968,21.521086
Austria,AUT,1969,15.592233
Austria,AUT,1970,13.729205
Austria,AUT,1971,13.092238
Austria,AUT,1972,11.921203
Austria,AUT,1973,11.111067
Austria,AUT,1974,9.157027
Austria,AUT,1975,8.8511
Austria,AUT,1976,8.7610445
Austria,AUT,1977,7.71053
Austria,AUT,1978,6.7265515
Austria,AUT,1979,7.4316015
Austria,AUT,1980,7.015676
Austria,AUT,1981,6.107281
Austria,AUT,1982,5.3984714
Austria,AUT,1983,5.34157
Austria,AUT,1984,4.491437
Austria,AUT,1985,4.4469657
Austria,AUT,1986,4.0936275
Austria,AUT,1987,3.7575731
Austria,AUT,1988,4.08227
Austria,AUT,1989,4.567731
Austria,AUT,1990,4.2300696
Austria,AUT,1991,4.0013857
Austria,AUT,1992,4.496719
Austria,AUT,1993,4.164801
Austria,AUT,1994,4.552245
Austria,AUT,1995,3.7998738
Austria,AUT,1996,3.241761
Austria,AUT,1997,2.7127383
Austria,AUT,1998,3.2202117
Austria,AUT,1999,3.2906017
Austria,AUT,2000,2.8084822
Austria,AUT,2001,2.7112918
Austria,AUT,2002,4.3727665
Austria,AUT,2003,4.9911604
Austria,AUT,2004,4.7175007
Austria,AUT,2005,5.193682
Austria,AUT,2006,4.190635
Austria,AUT,2007,4.1184125
Austria,AUT,2008,4.6280217
Austria,AUT,2009,4.4752717
Austria,AUT,2010,4.437393
Austria,AUT,2011,4.359667
Austria,AUT,2012,4.0131288
Austria,AUT,2013,4.5768332
Austria,AUT,2014,4.100275
Austria,AUT,2021,4.5426507
Austria,AUT,2020,4.271992
Austria,AUT,2019,4.684607
Austria,AUT,2018,4.7411394
Austria,AUT,2017,4.3295336
Austria,AUT,2016,4.565912
Austria,AUT,2015,4.54524
Azerbaijan,AZE,1981,38.66963
Azerbaijan,AZE,1982,34.039062
Azerbaijan,AZE,1985,32.168037
Azerbaijan,AZE,1986,29.876831
Azerbaijan,AZE,1987,29.85026
Azerbaijan,AZE,1988,24.37296
Azerbaijan,AZE,1989,27.504063
Azerbaijan,AZE,1990,24.607962
Azerbaijan,AZE,1991,19.401718
Azerbaijan,AZE,1992,22.481709
Azerbaijan,AZE,1993,25.335184
Azerbaijan,AZE,1994,30.113222
Azerbaijan,AZE,1995,34.265747
Azerbaijan,AZE,1996,29.46178
Azerbaijan,AZE,1997,28.216806
Azerbaijan,AZE,1998,25.299314
Azerbaijan,AZE,1999,27.126434
Azerbaijan,AZE,2000,23.344143
Azerbaijan,AZE,2001,22.53434
Azerbaijan,AZE,2002,20.38848
Azerbaijan,AZE,2003,18.680576
Azerbaijan,AZE,2004,15.495902
Azerbaijan,AZE,2007,5.669489
Bahamas,BHS,1972,25.568197
Bahamas,BHS,1975,22.961664
Bahamas,BHS,1979,29.1718
Bahamas,BHS,1980,28.487654
Bahamas,BHS,1981,19.95245
Bahamas,BHS,1983,17.625349
Bahamas,BHS,1984,19.722872
Bahamas,BHS,1985,29.933388
Bahamas,BHS,1987,24.93609
Bahamas,BHS,1993,15.32734
Bahamas,BHS,1994,17.912022
Bahamas,BHS,1995,18.530039
Bahamas,BHS,1996,17.840986
Bahamas,BHS,1997,13.469032
Bahamas,BHS,1998,14.726128
Bahamas,BHS,1999,109.07134
Bahamas,BHS,2000,98.84746
Bahamas,BHS,2001,96.38448
Bahamas,BHS,2002,92.05231
Bahamas,BHS,2003,69.66094
Bahamas,BHS,2004,66.65863
Bahamas,BHS,2005,65.65708
Bahamas,BHS,2006,70.13498
Bahamas,BHS,2007,59.78797
Bahamas,BHS,2008,49.521023
Bahamas,BHS,2009,52.11472
Bahamas,BHS,2010,44.44005
Bahamas,BHS,2011,51.750313
Bahamas,BHS,2012,46.668167
Bahamas,BHS,2013,54.36842
Bahamas,BHS,2014,48.84672
Bahamas,BHS,2015,41.47385
Bahrain,BHR,1985,15.208896
Bahrain,BHR,1987,12.501625
Bahrain,BHR,1988,9.096487
Bahrain,BHR,1997,13.290583
Bahrain,BHR,1998,17.449305
Bahrain,BHR,1999,22.607578
Bahrain,BHR,2000,34.424843
Bahrain,BHR,2001,18.558334
Bahrain,BHR,2002,22.84477
Bahrain,BHR,2003,30.401724
Bahrain,BHR,2004,24.978329
Bahrain,BHR,2005,26.540514
Bahrain,BHR,2006,21.165201
Bahrain,BHR,2007,17.198294
Bahrain,BHR,2008,16.811735
Bahrain,BHR,2009,21.824535
Bahrain,BHR,2010,17.000618
Bahrain,BHR,2011,14.144938
Bahrain,BHR,2012,14.132518
Bahrain,BHR,2013,8.472381
Bahrain,BHR,2014,7.2087927
Barbados,BRB,1960,69.09378
Barbados,BRB,1961,82.918564
Barbados,BRB,1962,55.80766
Barbados,BRB,1963,64.01551
Barbados,BRB,1964,54.638542
Barbados,BRB,1966,47.334652
Barbados,BRB,1967,46.534733
Barbados,BRB,1968,37.959267
Barbados,BRB,1969,33.856705
Barbados,BRB,1970,38.878563
Barbados,BRB,1971,30.689901
Barbados,BRB,1972,27.049646
Barbados,BRB,1973,25.875095
Barbados,BRB,1974,26.657034
Barbados,BRB,1975,28.061121
Barbados,BRB,1976,23.214357
Barbados,BRB,1977,28.547874
Barbados,BRB,1978,20.803991
Barbados,BRB,1979,20.962818
Barbados,BRB,1980,20.969698
Barbados,BRB,1981,24.809462
Barbados,BRB,1982,17.753744
Barbados,BRB,1983,17.299072
Barbados,BRB,1984,20.669228
Barbados,BRB,1985,21.984161
Barbados,BRB,1986,19.351614
Barbados,BRB,1987,18.023062
Barbados,BRB,1988,16.749998
Barbados,BRB,1989,20.923283
Barbados,BRB,1990,16.844673
Barbados,BRB,1991,20.390724
Barbados,BRB,1992,14.989707
Barbados,BRB,1993,17.71652
Barbados,BRB,1994,15.631189
Barbados,BRB,1995,21.232206
Barbados,BRB,2000,45.520874
Barbados,BRB,2001,30.331457
Barbados,BRB,2002,36.534424
Barbados,BRB,2003,31.241465
Barbados,BRB,2004,42.08402
Barbados,BRB,2005,43.710514
Barbados,BRB,2006,32.517414
Barbados,BRB,2007,27.960066
Barbados,BRB,2008,24.063501
Barbados,BRB,2009,33.17123
Barbados,BRB,2010,22.375908
Barbados,BRB,2011,31.807901
Barbados,BRB,2012,26.620022
Barbados,BRB,2013,32.298946
Belarus,BLR,1981,11.809023
Belarus,BLR,1982,11.135766
Belarus,BLR,1985,9.544196
Belarus,BLR,1986,7.268777
Belarus,BLR,1987,7.2530746
Belarus,BLR,1988,7.9040155
Belarus,BLR,1989,7.66517
Belarus,BLR,1990,7.282996
Belarus,BLR,1991,7.5865626
Belarus,BLR,1992,7.0148025
Belarus,BLR,1993,8.409848
Belarus,BLR,1994,8.109002
Belarus,BLR,1995,9.49169
Belarus,BLR,1996,9.393642
Belarus,BLR,1997,9.31871
Belarus,BLR,1998,9.743376
Belarus,BLR,1999,11.507936
Belarus,BLR,2000,9.363818
Belarus,BLR,2001,10.42141
Belarus,BLR,2002,12.04766
Belarus,BLR,2003,12.416446
Belarus,BLR,2007,11.961993
Belarus,BLR,2008,10.516613
Belarus,BLR,2009,10.786341
Belarus,BLR,2010,11.146742
Belarus,BLR,2011,11.469824
Belarus,BLR,2013,8.987378
Belarus,BLR,2014,8.354807
Belarus,BLR,2018,6.512762
Belgium,BEL,1954,35.245434
Belgium,BEL,1955,34.457863
Belgium,BEL,1956,31.088957
Belgium,BEL,1957,28.279383
Belgium,BEL,1958,24.79387
Belgium,BEL,1959,23.391663
Belgium,BEL,1960,23.131914
Belgium,BEL,1961,19.902473
Belgium,BEL,1962,18.151876
Belgium,BEL,1963,17.68126
Belgium,BEL,1964,15.536678
Belgium,BEL,1965,14.599912
Belgium,BEL,1966,14.450897
Belgium,BEL,1967,13.493185
Belgium,BEL,1968,11.833145
Belgium,BEL,1969,11.6186695
Belgium,BEL,1970,11.046696
Belgium,BEL,1971,10.704331
Belgium,BEL,1972,9.966624
Belgium,BEL,1973,8.86862
Belgium,BEL,1974,7.6583834
Belgium,BEL,1975,7.6119013
Belgium,BEL,1976,7.9725685
Belgium,BEL,1977,7.1171837
Belgium,BEL,1978,7.4882407
Belgium,BEL,1979,5.9236364
Belgium,BEL,1980,6.2932587
Belgium,BEL,1981,6.3145733
Belgium,BEL,1982,6.177604
Belgium,BEL,1983,6.3148336
Belgium,BEL,1984,5.436893
Belgium,BEL,1985,5.476679
Belgium,BEL,1986,5.669115
Belgium,BEL,1987,5.525673
Belgium,BEL,1988,5.6852694
Belgium,BEL,1989,6.651594
Belgium,BEL,1990,7.023633
